s_adj,sex,age,unit,geo\time	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
NSA,T,Y_LT25,PC,DK	10.2 	9.6 	9.7 	7.7 	7.3 	9.1 	6.2 	8.3 	7.4 	9.2 	8.2 	8.6 	7.7 i	7.5 	8.0 	11.8 	13.9 	14.2 	14.1 	13.0 	12.6 	10.6 
NSA,T,Y_LT25,PC,EE	: 	: 	: 	: 	: 	: 	23.9 	22.2 	17.9 	20.9 	23.9 	15.1 	12.1 	10.1 	12.0 i	27.4 	32.9 	22.4 	20.9 	18.7 	15.0 	: 
NSA,T,Y_LT25,PC,EL	: 	: 	: 	: 	30.4 	31.5 	29.1 	28.0 	26.8 	26.8 i	26.5 	25.8 	25.0 	22.7 	21.9 	25.7 	33.0 	44.7 	55.3 	58.3 	52.4 	: 
NSA,T,Y_LT25,PC,ES	42.3 	39.8 i	39.2 	36.1 	32.4 	26.4 	23.2 	21.1 	22.2 	22.7 	22.0 	19.6 	17.9 	18.1 	24.5 	37.7 	41.5 	46.2 	52.9 	55.5 	53.2 	48.3 
NSA,T,Y_LT25,PC,FI	34.0 	29.7 	28.0 	25.2 	23.5 	21.4 	21.4 	19.8 	21.0 	21.8 	20.7 	20.1 	18.7 	16.5 	16.5 	21.5 	21.4 	20.1 	19.0 	19.9 	20.5 	22.4 
NSA,T,Y_LT25,PC,FR	35.4 	34.7 i	37.2 	39.3 	37.8 	37.3 	31.5 	29.1 	30.5 	18.8 	20.4 	21.0 	22.0 	19.5 	19.0 	23.6 	23.3 	22.7 	24.4 	24.9 	24.2 	25.1 
NSA,T,Y_LT25,PC,HR	: 	: 	: 	: 	: 	: 	37.0 	40.1 	35.5 	34.7 	32.8 	31.9 	28.8 i	25.2 	23.7 	25.2 	32.4 	36.7 	42.1 	50.0 	45.5 	44.6 
NSA,T,Y_LT25,PC,HU	: 	: 	19.7 	17.2 	15.3 	12.5 	11.9 	11.0 	11.9 	13.2 	15.5 	19.4 	19.1 	18.1 	19.5 i	26.4 	26.4 	26.0 	28.2 	26.6 	20.4 	: 
NSA,T,Y_LT25,PC,IE	23.0 	19.5 	18.2 	15.4 	11.3 	8.6 	6.9 	7.2 	8.4 	8.7 	8.7 	8.7 	8.7 	9.1 	13.3 	24.0 	27.6 	29.1 	30.4 	26.8 	23.9 	20.6 
NSA,T,Y_LT25,PC,IT	28.7 	29.9 	29.9 	29.6 	29.2 	28.0 	26.2 	23.1 	22.0 	23.6 	23.5 	24.1 	21.8 	20.4 	21.2 	25.3 	27.9 	29.2 	35.3 	40.0 	42.7 	: 
